"","X1","X1_3","X1_2","X1_1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","oms_con","...16","oms_con_total","diff_con","se","mean","overall_inc","percentage","prod_sold"
"1",1,1,167,NA,2,4000339697908,"PHILADELPHIA NATUREL","j","Store + convenience bags",18,3,"cheese",21,-3,2,2,20,-1,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"2",2,2,168,NA,2,5700380203767,"<d8>KO Chili l<f8>se R<f8>de","j","Store + convenience bags",142,3,"vegetable",101,41,7,7,149,48,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"3",3,3,169,NA,2,5700381737605,"<d8>KO Citroner l<f8>se","j","Store + convenience bags",60,3,"vegetable",111,-51,3,3,63,-48,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"4",4,4,170,NA,2,5700381760627,"<d8>KO <c4>M KORIANDER AFS","j","Store + convenience bags",17,3,"herbes",24,-7,3,3,20,-4,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"5",5,5,171,NA,2,5700382338535,"<d8>ko Spinat 200 gr","j","Store + convenience bags",89,3,"vegetable",80,9,2,2,91,11,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"6",6,6,172,NA,2,5700382599486,"<c4>ngla <f8>ko ingef<e6>r","j","Store + convenience bags",50,3,"herbes",43,7,3,3,53,10,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"7",7,7,173,NA,2,5700382650019,"COOP SESAMFR<d8> 150 G","j","Store + convenience bags",8,3,"boullion/seed",10,-2,3,3,11,1,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"8",8,8,174,NA,2,5700382939183,"<d8>KO <c4>M TIMIAN AFSK","j","Store + convenience bags",14,3,"herbes",13,1,2,2,16,3,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"9",9,9,175,NA,2,5700383118402,"<c4>ngla sm<e5> spr<f8>de gul","j","Store + convenience bags",263,3,"vegetable",153,110,2,2,265,112,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"10",10,10,176,NA,2,5700383270889,"<c4>ngla Snackpeber","j","Store + convenience bags",49,3,"vegetable",40,9,2,2,51,11,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"11",11,11,177,NA,2,5700383696054,"<d8>ko <c4>M Champ i skive","j","Store + convenience bags",32,3,"vegetable",45,-13,2,2,34,-11,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"12",12,12,178,NA,2,5700383908812,"Portobello 300 gr","j","Store + convenience bags",9,3,"vegetable",17,-8,7,7,16,-1,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"13",13,13,179,NA,2,5700384318719,"Hvidl<f8>g 200 gr","j","Store + convenience bags",79,3,"vegetable",56,23,2,2,81,25,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"14",14,14,180,NA,2,5700384581724,"<d8>KO PERLEBYG <c2>NGLEMARK 500 G","j","Store + convenience bags",0,3,"pasta_stuff",1,-1,7,7,7,6,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"15",15,15,181,NA,2,5750006343148,"<d8>KO <c4>M bladselleri","j","Store + convenience bags",56,3,"vegetable",54,2,3,3,59,5,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"16",16,16,182,NA,2,5750006345555,"<d8>KO <c4>M l<f8>g 1 Kg","j","Store + convenience bags",102,3,"vegetable",89,13,2,2,104,15,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"17",17,17,183,NA,2,7340011315179,"<d8>KO SPAGHETTI FK <c4>NGLAM","j","Store + convenience bags",5,3,"pasta_stuff",10,-5,5,5,10,0,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"18",18,18,184,NA,2,7340011476054,"COOP HAKKEDE TOMATER 400 G","j","Store + convenience bags",40,3,"canned",26,14,2,2,42,16,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"19",19,19,185,NA,2,7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","j","Store + convenience bags",21,3,"canned",66,-45,2,2,23,-43,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"20",20,20,186,NA,2,7340011488064,"<d8>KO <c4>NGLAMARK KNUST CHILI 23 G","j","Store + convenience bags",8,3,"spices",9,-1,2,2,10,1,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"21",21,21,187,NA,2,7340191101029,"COOP SPIDSKOMMEN 40 G","j","Store + convenience bags",13,3,"spices",4,9,7,7,20,16,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"22",22,22,188,NA,2,8001868007509,"PECORINO ROMANO 160G","j","Store + convenience bags",9,3,"cheese",6,3,5,5,14,8,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
