"","X1","X1_2","X1_1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","diff_perc","int_type","oms_con","diff_con","diff_con_perc"
"1","1",65,65,1,57095370,"KILDEV<c6>LD 50CL","water","label",46,1,"water",37,9,24.3,NA,NA,NA,NA
"2","1",66,66,1,5700380222096,"R<f8>dbeder 1,5 kg.","beats","label",5,1,"vegetables",7,-2,-28.6,NA,NA,NA,NA
"3","1",67,67,1,5700380268926,"<d8>KO <c4>M SPIDSK<c5>L","cale","label",39,1,"vegetables",199,-160,-80.4,NA,NA,NA,NA
"4","1",68,68,1,5700380269572,"L<f8>g 1 kg 40-60 mm","onion","label",87,1,"vegetables",83,4,4.8,NA,NA,NA,NA
"5","1",69,69,1,5700380394816,"Kart Lammefjord 1,5","potato","label",28,1,"vegetables",52,-24,-46.2,NA,NA,NA,NA
"6","1",70,70,1,5700380806210,"Knoldselleri","celeriac","label",15,1,"vegetables",16,-1,-6.2,NA,NA,NA,NA
"7","1",71,71,1,5700380988244,"Hvidk<e5>l 1000-1800 gr","cale","label",9,1,"vegetables",NA,NA,NA,NA,NA,NA,NA
"8","1",72,72,1,5700381206774,"<d8>ko <c4>M porrer 1 stk","leek","label",70,1,"vegetables",84,-14,-16.7,NA,NA,NA,NA
"9","1",73,73,1,5700381232315,"<d8>KO <c4>M KART SM<c5>","potato","label",43,1,"vegetables",34,9,26.5,NA,NA,NA,NA
"10","1",74,74,1,5700381563587,"COOP DANSKVAND 2L","water","label",60,1,"water",66,-6,-9.1,NA,NA,NA,NA
"11","1",75,75,1,5700381660255,"<c4>ngla <f8>ko gr<f8>nk<e5>l","cale","label",14,1,"vegetables",10,4,40,NA,NA,NA,NA
"12","1",76,76,1,5700381715467,"Br<f8>dC MINERALV 50cL","bread","label",1143,1,"bread/flour",553,590,106.7,NA,NA,NA,NA
"13","1",77,77,1,5700381757511,"<c4>ngla <f8>ko Blomk<e5>l","cale","label",5,1,"vegetables",12,-7,-58.3,NA,NA,NA,NA
"14","1",78,78,1,5700381768852,"SF HINDB<c6>R 170 g.","berries","label",54,1,"fruit",68,-14,-20.6,NA,NA,NA,NA
"15","1",79,79,1,5700381779827,"Porrer","leek","label",88,1,"vegetables",82,6,7.3,NA,NA,NA,NA
"16","1",80,80,1,5700381884897,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG","flour","label",31,1,"bread/flour",19,12,63.2,NA,NA,NA,NA
"17","1",81,81,1,5700382004812,"<d8>ko <c4>M Portobello","mushrooms","label",9,1,"vegetables",12,-3,-25,NA,NA,NA,NA
"18","1",82,82,1,5700382039487,"P<e6>rer, store 6stk.DK","pear","label",29,1,"fruit",109,-80,-73.4,NA,NA,NA,NA
"19","1",83,83,1,5700382094080,"<c4>ngla <f8>ko datterino","tomato","label",43,1,"vegetables",61,-18,-29.5,NA,NA,NA,NA
"20","1",84,84,1,5700382338535,"<d8>ko Spinat 200 gr","spinage","label",77,1,"vegetables",88,-11,-12.5,NA,NA,NA,NA
"21","1",85,85,1,5700382391622,"Spidsk<e5>l","cale","label",137,1,"vegetables",40,97,242.5,NA,NA,NA,NA
"22","1",86,86,1,5700382516469,"Courgette","squash","label",89,1,"vegetables",62,27,43.5,NA,NA,NA,NA
"23","1",87,87,1,5700382724581,"Broccoli","broccoli","label",102,1,"vegetables",242,-140,-57.9,NA,NA,NA,NA
"24","1",88,88,1,5700382729920,"X-tra Kartofler 2 kg","potato","label",43,1,"vegetables",58,-15,-25.9,NA,NA,NA,NA
"25","1",89,89,1,5700382739325,"<d8>KO <c4>M KART 1 KG","potato","label",150,1,"vegetables",74,76,102.7,NA,NA,NA,NA
"26","1",90,90,1,5700382788019,"<d8>KO <c4>NGLA. <c6>BLE Stor","apples","label",34,1,"fruit",19,15,78.9,NA,NA,NA,NA
"27","1",91,91,1,5700382801596,"Blommer","plums","label",53,1,"fruit",48,5,10.4,NA,NA,NA,NA
"28","1",92,92,1,5700382815340,"<d8>ko 365 Guler<f8>dder 1","carrots","label",52,1,"vegetables",NA,NA,NA,NA,NA,NA,NA
"29","1",93,93,1,5700382948277,"Guler<f8>dder h<e5>ndsort.","carrots","label",20,1,"vegetables",62,-42,-67.7,NA,NA,NA,NA
"30","1",94,94,1,5700383052218,"Cocktail tomater","tomato","label",5,1,"vegetables",4,1,25,NA,NA,NA,NA
"31","1",95,95,1,5700383201715,"<d8>ko S<f8>ris Kart 750 g","potato","label",30,1,"vegetables",14,16,114.3,NA,NA,NA,NA
